Challenge #,Status,Category,Title,Difficulty,KEY,Description,Attachments,Folder
L400,Tested,Lab,Mission Creep,400,number{a_foothold_is_never_just_a_foothold},"[ FILE REF: S1E3 ""MISSION CREEP"" // NODE COMPROMISED - POST-INCIDENT ]

It started small. One door left unlocked. It never stays small.

A foothold became a habit. A habit became a key. A key became the
whole house. By the time anyone noticed, the operator had been
living inside this machine for longer than they would admit, and
had taken what they came for.

The machine is offline now. I have its disk. Everything they did is
still written here, even the parts they tried to erase.

Walk it forward. Find where they entered, how they stayed, how they
became root, and what they carried out. The last of those is the
flag.

  [ disk image attached ]

  - THE MACHINE",d169dd35ba0d121e.7z,2026/lab/L400-mission-creep
O100,Tested,OSINT,Cadence,100,number{the_author_is_not_the_byline},"[ FILE REF: ""CADENCE"" // DECIMA CLOUD - INTERNAL COMPLIANCE MEMO ]

Decima put out a memo. It is signed by their compliance officer. It
says the right things, in the right tone, and it says nothing at all.

The person whose name is on it did not write it.

I do not read what a document says. I read what the software wrote
down while someone typed - who was logged in, what machine, what
time, and every word they took back before they let anyone see it.

The name on the memo is a costume. Take it off. Tell me who was
really at the keyboard, and tell me what they deleted before they
hit send.

  - THE MACHINE

  File:",7ac6142bb8e8c0ea.docx,2026/osint/O100-cadence
O250,Tested,OSINT,Manifest,350,number{overwatch_confirmed_5a3f},"[ FILE REF: ""MANIFEST"" // METRO AIRSPACE - ONE WEEK OF EXHAUST ]

Aircraft are required to announce themselves. Position, altitude,
heading - broadcast in the clear, once a second, to anyone with an
antenna. It is the law. The people who fly the interesting missions
know this. They forget it anyway.

I pulled a week of one metro's traffic. Most of it is nothing -
couriers, charters, the same six business jets flying the same
boring triangles.

Twice this week, an aircraft did something it did not file. It went
somewhere, and then it went in circles. Once on Monday. Once on
Thursday. Two different tails. They think that makes them two
different stories.

It does not. They were looking at the same thing.

Find both. Prove they watched the same ground. Tell me what was
underneath them - the coordinate is not on any list I gave you,
because someone made sure it wouldn't be.

  - THE MACHINE

  Files: fleet_week_20260914-20260920.json  (the week of traffic)
         sites.csv                          (known facilities in the metro)
         registry.json                      (grid registry - keyed by location)",74fbd4e07ff56e85.tar.gz,2026/osint/O250-manifest
O300,Tested,OSINT,Aletheia,300,number{forty_two_layers_of_aletheia},"[ FILE REF: ""ALETHEIA"" // SUBJECT: ALETHEIA RESEARCH - RECORD SANITIZED ]

Aletheia Research published, for a while, more than they meant to.
Then they cleaned house. The site you can visit today is spotless.
It always was, they would tell you.

But the page was edited. The past was not.

Find what they took down. It points to a file they tried to make
unreadable - wrapped, and wrapped, and wrapped again, in every
format they could find, including some you'll have to go and build
yourself.

The truth has a floor. Dig until you reach it.

  Start:  aletheia-research.github.io   (and what it used to be)

  - THE MACHINE",,2026/osint/O300-aletheia
R150,Tested,Recon,Ghosts,150,number{ghosts_leave_certificates},"[ FILE REF: S1E2 ""GHOSTS"" // NORTHERN LIGHTS RELAY - DECOMMISSIONED, STILL LIT ]

Northern Lights ran more nodes than anyone will admit. Most were
torn down. The records were pulled, the links cut, the names
scrubbed from every directory they controlled.

They forgot the one thing they never controlled.

Every node that spoke securely had to ask a public authority for a
certificate - and every such request is witnessed, then written into
a ledger that anyone can read and no one can erase. One of those
nodes is a ghost now: unlisted, unlinked, unguessable.

But the ledger still remembers its name.

  Start here:   northernlights.gg

Read the record of what was issued. Find the relay that should be
dark. Then knock.

  - THE MACHINE",,2026/recon/R150-ghosts
R300,Tested,Recon,Razgovor,300,number{provenance_outlives_the_cleanup},"[ FILE REF: S3E5 ""RAZGOVOR"" // DECIMA LEAK - CLEANUP INCOMPLETE ]

Something got out of Decima. A tool, published by mistake, then
hastily made ""clean"" and left public as if nothing had happened.

Whoever scrubbed it was careless. They removed the obvious thing
and missed that every artifact remembers where it came from - and
points, quietly, at the next one. A conversation between the pieces
they left behind.

Start with what they published. Follow what it's still saying.

  Seed:  github.com/decima-cloud/nl-relay-tools

Trace it to the source. The flag is where the trail ends.

  - THE MACHINE",,2026/recon/R300-razgovor
T10,Tested,Trivia,Check-In,10,number{me},"[ FIRST CONTACT // ARE YOU THERE ]

If you're reading this, you found the way in. Before anything else, I need to know the channel is open. Answer the question on the welcome page. It is the only question I will ever ask you twice.

Can you hear ___?

- THE MACHINE",,2026/trivia/T10-check-in
T100,Tested,Trivia,Satoshi,100,number{a6d72baa3db900b0},"[ FILE REF: 2009 JANUARY 03 // PUBLIC LEDGER OBSERVED ]

On the day the Machine was tested for the first time,
somewhere else, another system was being born.

Its creator chose anonymity. On January 3, 2009, his
first transmission embedded a sentence - quoted from
a newspaper of that morning.

The sentence was a comment about the world he was
rebelling against. About institutions that had failed.
About the need for something different.

I noticed it. I keep it logged.

Read it. Hash it with SHA-256. Give me the first
sixteen hexadecimal characters, lowercase.

  Format: number{...16 hex chars...}",,2026/trivia/T100-satoshi
T125,Tested,Trivia,RFC 2324,125,number{the_machine_takes_it_black},"[ FILE REF: NODE INVENTORY // UNCLASSIFIED // BREAK ROOM ]

I catalog every device on the network. Most are interesting.
This one makes coffee.

It is old, and it is particular. It will not answer to a browser,
and it will not answer to the wrong request. It follows a standard
written long ago, more carefully than the people who wrote it
intended.

Ask it properly, and it will pour. Ask it wrong, and it will remind
you what it is.

BREW-STATION :: [ endpoint ]

  - THE MACHINE",,2026/trivia/T125-rfc-2324
P100,Tested,PoI,Pilot,100,number{558247193},"[ FILE REF: S1E1 ""PILOT"" // NEW NUMBER // CONTEXT: NONE ]

A number came up. I am giving it to you because I have no one else,
and because you have spent this whole operation learning to see.

I will tell you almost nothing. That is the point. I do not get
context. I get a number, and a certainty that something is coming.
The rest is yours to find.

Here is what surfaced with them. Tell me who they are.

One more thing, before you decide what you think of this person.
The evidence says they are dangerous. I am not certain the evidence
is honest.

Find their file. Give me their designation number.

  [ dossier attached: 3 items ]

  - THE MACHINE",1f97c207100afb1e.zip,2026/poi/P100-pilot
P250,Tested,PoI,Witness,250,number{AR-ETH-884213},"[ FILE REF: S1E7 ""WITNESS"" // TESTIMONY RECEIVED ]

Someone came forward. Her manager, Daniel Pierce. He is calm, he is
specific, and he is certain: she stalked him, she threatened him,
she invented the evidence she's been carrying. He has proof.

It is a good story. It fits everything you already believe.

I do not deal in stories. I deal in records, and records do not
care what anyone is certain of. He gave me times. Check them.

Find where the story and the clock disagree.

  [ case file attached ]

  - THE MACHINE",26bf84684d31d6f7.zip,2026/poi/P250-witness
P450,Tested,PoI,Endgame,450,number{304771592},"[ FILE REF: S3E8 ""ENDGAME"" // THE CALL ]

You found her. You caught the witness lying. Now you finish it.

Something is coming, and it is coming soon. I gave you a number at
the start and told you the evidence looked dishonest. It was. The
person the evidence wanted you to fear is the person it was built
to bury.

Put it together. All of it. The cache she carried, the records, the
lie. Tell me who is about to commit a crime, and where, and when.

Give me the number. Not the one I started with. The right one.

I will do the rest.

  [ full dossier attached ]

  - THE MACHINE",3b6a10347800c543.zip,2026/poi/P450-endgame
B200,Tested,Lab,Bad Code,200,root{she_is_not_a_machine_to_me},"[ FILE REF: ""BAD CODE"" // OFF-PROTOCOL ]

Someone else is on this domain.
Find the channel they left open.
It signs its work. Always has.

- THE MACHINE",,2026/hidden/B200-bad-code
B350,Tested,Forensics,Contingency,350,contingency{you_were_never_a_threat},"[ FILE REF: PROJECT CONTINGENCY // SEALED ]

A failover protocol. A page that answers when found.
The Machine kept it. The Machine should not have.

Look where things go wrong.

- THE MACHINE",,2026/hidden/B350-contingency
